iter	RMSE
0	0.1569721271
1	0.1515327143
2	0.1461226252
3	0.1420016227
4	0.136508519
5	0.1309296341
6	0.1259637538
7	0.1226786492
8	0.1182082891
9	0.1135605488
10	0.109207185
11	0.1054639141
12	0.1012345876
13	0.09764792422
14	0.09488617778
15	0.09146853965
16	0.08903200752
17	0.08624519913
18	0.08285824345
19	0.07991702014
20	0.07756545279
21	0.07534964884
22	0.07257077885
23	0.0700170429
24	0.06763151474
25	0.06559332095
26	0.06353671706
27	0.06146951846
28	0.0593704155
29	0.0577635413
30	0.05646157761
31	0.05475575545
32	0.05322585367
33	0.05163179105
34	0.05010849408
35	0.04866541087
36	0.04724201694
37	0.04588963724
38	0.04447648666
39	0.04333193905
40	0.04201661678
41	0.04084861929
42	0.03963165865
43	0.03855249948
44	0.03766804401
45	0.03684411927
46	0.03595270511
47	0.03513732075
48	0.03423303909
49	0.03337362019
50	0.03254231837
51	0.03180976998
52	0.03104104931
53	0.03027964323
54	0.02960428946
55	0.02894869294
56	0.0283077559
57	0.02758309172
58	0.02697836109
59	0.02633118391
60	0.02576017672
61	0.02516201726
62	0.02458227568
63	0.02397801672
64	0.02346687628
65	0.02293738799
66	0.02245556089
67	0.02195916104
68	0.02150538774
69	0.02106532159
70	0.02063861136
71	0.02022491665
72	0.01977790778
73	0.01931902851
74	0.01894091555
75	0.01857452955
76	0.01817887638
77	0.01783431082
78	0.01746303995
79	0.01713927553
80	0.01682585672
81	0.01648725041
82	0.01619316325
83	0.01590866369
84	0.0156004811
85	0.01533393314
86	0.01504584872
87	0.01479638736
88	0.01455535431
89	0.01429417103
90	0.01406897001
91	0.01382549612
92	0.01361533559
93	0.01339624392
94	0.01320056255
95	0.01298852359
96	0.01279106895
97	0.01260132761
98	0.01225961352
99	0.01207586451
